Index,CTE,p_error,d_error,i_error,steering_output
2878,-0.191,-0.02865,0.06237,0.0414919,0.0752119
2879,-0.1691,-0.025365,0.04599,0.0413228,0.0619478
2880,-0.1358,-0.02037,0.06993,0.041187,0.090747
2881,-0.1141,-0.017115,0.04557,0.0410729,0.0695279
2882,-0.0842,-0.01263,0.06279,0.0409887,0.0911487
2883,-0.0588,-0.00882,0.05334,0.0409299,0.0854499
2884,-0.0452,-0.00678,0.02856,0.0408847,0.0626647
2885,-0.0309,-0.004635,0.03003,0.0408538,0.0662488
2886,-0.0256,-0.00384,0.01113,0.0408282,0.0481182
2887,-0.0239,-0.003585,0.00357,0.0408043,0.0407893
2888,-0.0269,-0.004035,-0.0063,0.0407774,0.0304424
2889,-0.0368,-0.00552,-0.02079,0.0407406,0.0144306
2890,-0.058,-0.0087,-0.04452,0.0406826,-0.0125374
2891,-0.0463,-0.006945,0.02457,0.0406363,0.0582613
2892,0.0434,0.00651,0.18837,0.0406797,0.23556
2893,0.0896,0.01344,0.09702,0.0407693,0.151229
2894,0.1445,0.021675,0.11529,0.0409138,0.177879
2895,0.1703,0.025545,0.05418,0.0410841,0.120809
2896,0.1918,0.02877,0.04515,0.0412759,0.115196
2897,0.1931,0.028965,0.00273,0.041469,0.073164
2898,0.1832,0.02748,-0.02079,0.0416522,0.0483422
2899,0.1537,0.023055,-0.06195,0.0418059,0.0029109
2900,0.109,0.01635,-0.09387,0.0419149,-0.0356051
2901,0.0726,0.01089,-0.07644,0.0419875,-0.0235625
2902,0.0124,0.00186,-0.12642,0.0419999,-0.0825601
2903,-0.0301,-0.004515,-0.08925,0.0419698,-0.0517952
2904,-0.0933,-0.013995,-0.13272,0.0418765,-0.104839
2905,-0.134,-0.0201,-0.08547,0.0417425,-0.0638275
2906,-0.1889,-0.028335,-0.11529,0.0415536,-0.102071
2907,-0.2354,-0.03531,-0.09765,0.0413182,-0.0916418
2908,-0.2603,-0.039045,-0.05229,0.0410579,-0.0502771
2909,-0.2866,-0.04299,-0.05523,0.0407713,-0.0574487
2910,-0.3002,-0.04503,-0.02856,0.0404711,-0.0331189
2911,-0.3021,-0.045315,-0.00399,0.040169,-0.009136
2912,-0.2947,-0.044205,0.01554,0.0398743,0.0112093
2913,-0.2837,-0.042555,0.0231,0.0395906,0.0201356
2914,-0.2594,-0.03891,0.05103,0.0393312,0.0514512
2915,-0.2427,-0.036405,0.03507,0.0390885,0.0377535
2916,-0.1098,-0.01647,0.27909,0.0389787,0.301599
2917,0.056,0.0084,0.34818,0.0390347,0.395615
2918,0.161,0.02415,0.2205,0.0391957,0.283846
2919,0.294,0.0441,0.2793,0.0394897,0.36289
2920,0.3646,0.05469,0.14826,0.0398543,0.242804
2921,0.4378,0.06567,0.15372,0.0402921,0.259682
2922,0.4645,0.069675,0.05607,0.0407566,0.166502
2923,0.4714,0.07071,0.01449,0.041228,0.126428
2924,0.441,0.06615,-0.06384,0.041669,0.043979
2925,0.402,0.0603,-0.0819,0.042071,0.020471
2926,0.3215,0.048225,-0.16905,0.0423925,-0.0784325
2927,0.2196,0.03294,-0.21399,0.0426121,-0.138438
2928,0.1443,0.021645,-0.15813,0.0427564,-0.0937286
2929,0.0478,0.00717,-0.20265,0.0428042,-0.152676
2930,0.014,0.0021,-0.07098,0.0428182,-0.0260618
2931,-0.0238,-0.00357,-0.07938,0.0427944,-0.0401556
2932,-0.0561,-0.008415,-0.06783,0.0427383,-0.0335067
2933,-0.0749,-0.011235,-0.03948,0.0426634,-0.0080516
2934,-0.0982,-0.01473,-0.04893,0.0425652,-0.0210948
2935,-0.1107,-0.016605,-0.02625,0.0424545,-0.0004005
2936,-0.1244,-0.01866,-0.02877,0.0423301,-0.0050999
2937,-0.1327,-0.019905,-0.01743,0.0421974,0.0048624
2938,-0.1353,-0.020295,-0.00546,0.0420621,0.0163071
2939,-0.1352,-0.02028,0.00021,0.0419269,0.0218569
2940,-0.1329,-0.019935,0.00483,0.041794,0.026689
2941,-0.1268,-0.01902,0.01281,0.0416672,0.0354572
2942,-0.1363,-0.020445,-0.01995,0.0415309,0.0011359
2943,-0.0321,-0.004815,0.21882,0.0414988,0.255504
2944,0.1313,0.019695,0.34314,0.0416301,0.404465
2945,0.2305,0.034575,0.20832,0.0418606,0.284756
2946,0.3547,0.053205,0.26082,0.0422153,0.35624
2947,0.4193,0.062895,0.13566,0.0426346,0.24119
2948,0.4836,0.07254,0.13503,0.0431182,0.250688
2949,0.5094,0.07641,0.05418,0.0436276,0.174218
2950,0.5053,0.075795,-0.00861,0.0441329,0.111318
2951,0.4696,0.07044,-0.07497,0.0446025,0.0400725
2952,0.428,0.0642,-0.08736,0.0450305,0.0218705
2953,0.3452,0.05178,-0.17388,0.0453757,-0.0767243
2954,0.2424,0.03636,-0.21588,0.0456181,-0.133902
2955,0.1669,0.025035,-0.15855,0.045785,-0.08773
2956,0.0522,0.00783,-0.24087,0.0458372,-0.187203
2957,-0.0238,-0.00357,-0.1596,0.0458134,-0.117357
2958,-0.1302,-0.01953,-0.22344,0.0456832,-0.197287
2959,-0.1948,-0.02922,-0.13566,0.0454884,-0.119392
2960,-0.277,-0.04155,-0.17262,0.0452114,-0.168959
2961,-0.3409,-0.051135,-0.13419,0.0448705,-0.140455
2962,-0.3719,-0.055785,-0.0651,0.0444986,-0.0763864
2963,-0.3995,-0.059925,-0.05796,0.0440991,-0.0737859
2964,-0.4061,-0.060915,-0.01386,0.043693,-0.031082
2965,-0.3995,-0.059925,0.01386,0.0432935,-0.0027715
2966,-0.3737,-0.056055,0.05418,0.0429198,0.0410448
2967,-0.3284,-0.04926,0.09513,0.0425914,0.0884614
2968,-0.1588,-0.02382,0.35616,0.0424326,0.374773
2969,0.0221,0.003315,0.37989,0.0424547,0.42566
2970,0.1366,0.02049,0.24045,0.0425913,0.303531
2971,0.2837,0.042555,0.30891,0.042875,0.39434
2972,0.364,0.0546,0.16863,0.043239,0.266469
2973,0.4515,0.067725,0.18375,0.0436905,0.295165
2974,0.4876,0.07314,0.07581,0.0441781,0.193128
2975,0.5079,0.076185,0.04263,0.044686,0.163501
2976,0.4896,0.07344,-0.03843,0.0451756,0.0801856
2977,0.4602,0.06903,-0.06174,0.0456358,0.0529258
2978,0.495,0.07425,0.07308,0.0461308,0.193461
2979,0.5652,0.08478,0.14742,0.046696,0.278896
2980,0.5966,0.08949,0.06594,0.0472926,0.202723
2981,0.6132,0.09198,0.03486,0.0479058,0.174746
2982,0.6043,0.090645,-0.01869,0.0485101,0.120465
2983,0.5638,0.08457,-0.08505,0.0490739,0.0485939
2984,0.5204,0.07806,-0.09114,0.0495943,0.0365143
2985,0.4362,0.06543,-0.17682,0.0500305,-0.0613595
2986,0.3329,0.049935,-0.21693,0.0503634,-0.116632
2987,0.2574,0.03861,-0.15855,0.0506208,-0.0693192
2988,0.1423,0.021345,-0.24171,0.0507631,-0.169602
2989,0.0654,0.00981,-0.16149,0.0508285,-0.100852
2990,-0.0438,-0.00657,-0.22932,0.0507847,-0.185105
2991,-0.1412,-0.02118,-0.20454,0.0506435,-0.175077
2992,-0.1446,-0.02169,-0.00714,0.0504989,0.0216689
2993,-0.0229,-0.003435,0.25557,0.050476,0.302611
2994,0.1144,0.01716,0.28833,0.0505904,0.35608
2995,0.2031,0.030465,0.18627,0.0507935,0.267528
2996,0.3177,0.047655,0.24066,0.0511112,0.339426
