Index,CTE,p_error,d_error,i_error,steering_output
267,0.0443,0.00443,-0,0,0.00443
268,-0.0784,-0.00784,-0,0,-0.00784
269,-0.1615,-0.01615,-0,0,-0.01615
270,-0.2868,-0.02868,-0,0,-0.02868
271,-0.412,-0.0412,-0,0,-0.0412
272,-0.4946,-0.04946,-0,0,-0.04946
273,-0.6159,-0.06159,-0,0,-0.06159
274,-0.6945,-0.06945,-0,0,-0.06945
275,-0.8076,-0.08076,-0,0,-0.08076
276,-0.9134,-0.09134,-0,0,-0.09134
277,-0.9792,-0.09792,-0,0,-0.09792
278,-1.0684,-0.10684,-0,0,-0.10684
279,-1.1338,-0.11338,-0,0,-0.11338
280,-1.1605,-0.11605,-0,0,-0.11605
281,-1.1845,-0.11845,-0,0,-0.11845
282,-1.1921,-0.11921,-0,0,-0.11921
283,-1.1902,-0.11902,0,0,-0.11902
284,-1.1798,-0.11798,0,0,-0.11798
285,-1.1499,-0.11499,0,0,-0.11499
286,-1.1203,-0.11203,0,0,-0.11203
287,-1.0612,-0.10612,0,0,-0.10612
288,-1.012,-0.1012,0,0,-0.1012
289,-0.9236,-0.09236,0,0,-0.09236
290,-0.8181,-0.08181,0,0,-0.08181
291,-0.7384,-0.07384,0,0,-0.07384
292,-0.6057,-0.06057,0,0,-0.06057
293,-0.4579,-0.04579,0,0,-0.04579
294,-0.3514,-0.03514,0,0,-0.03514
295,-0.2392,-0.02392,0,0,-0.02392
296,-0.0609,-0.00609,0,0,-0.00609
297,0.1281,0.01281,0,0,0.01281
298,0.2592,0.02592,0,0,0.02592
299,0.4626,0.04626,0,0,0.04626
300,0.7031,0.07031,0,0,0.07031
301,0.8797,0.08797,0,0,0.08797
302,1.1636,0.11636,0,0,0.11636
303,1.3534,0.13534,0,0,0.13534
304,1.6343,0.16343,0,0,0.16343
305,1.8174,0.18174,0,0,0.18174
306,2.0832,0.20832,0,0,0.20832
307,2.3355,0.23355,0,0,0.23355
308,2.4944,0.24944,0,0,0.24944
309,2.715,0.2715,0,0,0.2715
310,2.8488,0.28488,0,0,0.28488
311,3.0263,0.30263,0,0,0.30263
312,3.1731,0.31731,0,0,0.31731
313,3.2524,0.32524,0,0,0.32524
314,3.3408,0.33408,0,0,0.33408
315,3.3902,0.33902,0,0,0.33902
